"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
      1152 ;276001405059272 ;BESAMT     ; 159 ;07/12/24;NIGHTBLU.B      ;A ; 3 ;C ;Sjoerd     278       ;;;
      1156 ;276001406192654 ;BESAMT     ; 235 ;08/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
      1163 ;276001406280009 ;BESAMT     ;  64 ;23/10/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      1163 ;276001406280009 ;BESAMT     ;  71 ;30/10/24;LIENONME        ;P ; 5 ;C ;Stefan     278       ;;;
      1166 ;276001270693190 ;BESAMT     ; 144 ;14/10/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1167 ;276001406531727 ;BESAMT     ; 137 ;11/10/24;RIVARIDG        ;P ; 5 ;O ;Stefan     278       ;;;
      1180 ;276001270693066 ;BESAMT     ; 144 ;05/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1200 ;276001406356341 ;BESAMT     ; 177 ;11/10/24;RIVARIDG        ;P ; 2 ;C ;S�ren      7         ;;;
      1202 ;276001406356336 ;BESAMT     ;  62 ;09/10/24;LIENONME        ;P ; 5 ;C ;Stefan     278       ;;;
      1202 ;276001406356336 ;BESAMT     ;  70 ;17/10/24;LIENONME        ;C ; 3 ;C ;Sjoerd     278       ;;;
      1202 ;276001406356336 ;BESAMT     ; 133 ;19/12/24;SAMSON          ;C ; 3 ;C ;Sjoerd     278       ;;;
      1221 ;276001406531651 ;BESAMT     ; 144 ;04/10/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
      1223 ;276001405217092 ;BESAMT     ; 235 ;01/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
      1226 ;276001406130216 ;BESAMT     ; 123 ;02/10/24;NIGHTBLU.B      ;O ; 3 ;C ;Sjoerd     278       ;;;
      1226 ;276001406130216 ;BESAMT     ; 174 ;22/11/24;LIENONME        ;R ; 4 ;O ;Annett     300       ;;;
      1226 ;276001406130216 ;BESAMT     ; 175 ;23/11/24;LIENONME        ;P ; 4 ;C ;Annett     300       ;;;
      1234 ;276001406130211 ;BESAMT     ;  95 ;09/10/24;LIENONME        ;P ; 5 ;C ;Stefan     278       ;;;
      1246 ;276001406356370 ;BESAMT     ; 208 ;09/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
